Motorola,C168,GSM,GSM 900 / 1800,Class 8,No,"2005, Q3",Discontinued,"104.4 x 46 x 14 mm, 63 cc (4.11 x 1.81 x 0.55 in)",77 g (2.72 oz),Mini-SIM,"CSTN, 4096 colors",,"128 x 128 pixels, 1:1 ratio","Downloadable wallpapers, screensavers",No,600 entries,"10 dialed, 10 received, 10 missed calls",No,"Vibration; Downloadable polyphonic ringtones, composer",No,No,No,No,Stereo FM radio,No,V1,"SMS, EMS, MMS",WAP 2.0/xHTML,,,Yes,No,SyncML  MP3 player  Organizer  Predictive text input  Voice dial/memo  Sync ML  Photo editor,V1,,,,,,,640 KB,,,,,,,,,250 SMS messages,,,,,,,,,,,,,,,,,,,,,,,,,Removable Li-Ion 1000 mAh battery,,,,,,No,,,Up to 9 h 30 min,Up to 340 h,B000SKTZ0S
Nokia,1,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, February","Available. Released 2018, April",133.6 x 67.8 x 9.5 mm (5.26 x 2.67 x 0.37 in),-,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~61.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"microSD, up to 128 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,Xpress-on back covers,"Warm Red, Dark Blue",HSDPA 850 / 900 / 2100 - EMEA/APAC,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 8.1 Oreo (Go edition),Mediatek MT6737M (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720MP1,"8 GB, 1 GB RAM",5 MP,480p,About 100 EUR,LED flash,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300) - EMEA/APAC",Plastic back,,,,,,,,,1,,,,,,,2 MP,,,,,,0.72 W/kg (head)     1.68 W/kg (body)    ,,,,,Removable Li-Ion 2150 mAh battery,,Up to 53 h,,,,,,"LTE band 1(2100), 3(1800), 5(850), 40(2300), 41(2500) - India",Up to 9 h (3G),Up to 360 h (3G),B001GQ3DJM
Samsung,A167,GSM,GSM 850 / 1900,Class 10,No,"2009, May. Released 2009, May",Discontinued,90 x 46.5 x 19.8 mm (3.54 x 1.83 x 0.78 in),87.8 g (3.10 oz),Mini-SIM,"CSTN, 65K colors","1.85 inches, 10.8 cm (~25.7% screen-to-body ratio)",128 x 160 pixels (~111 ppi density),External 1.1 inch black and white CSTN display(96 x 96 pixels),No,250 entries,"30 dialed, 30 received, 30 missed calls",Yes,,No,No,No,No,FM radio,No,V1,"SMS, MMS, Email, IM",WAP 2.0,,,Yes,No,Organizer  Voice memo  Predictive text input,Gray,,,,,,,2 MB,VGA,No,About 30 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45 W/kg (head)     0.71 W/kg (body)    ,Removable Li-Ion 800 mAh battery,,,,,No,,,,Up to 3 h,Up to 252 h,B002AS9WEA
Motorola,RAZR V3,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,No,"2004, Q3",Discontinued,"98 x 53 x 13.9 mm, 65 cc (3.86 x 2.09 x 0.55 in)",95 g (3.35 oz),Mini-SIM,"TFT, 256K colors","2.2 inches, 15.2 cm (~29.3% screen-to-body ratio)","176 x 220 pixels, 9 lines (~128 ppi density)","Second CSTN display (96 x 80 pixels), 4096 colors  Anodized aluminum case  Downloadable logos",No,"1000 entries, Photo call","10 dialed, 10 received, 10 missed calls",Yes,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",No,No,1.2,No,No,miniUSB,V1,"SMS, EMS, MMS, Email,  Instant Messaging",WAP 2.0/xHTML,,,"Skipping Stones, Golf, Billiards + downloadable","Yes, MIDP 2.0",MP4 video  Predictive text input  Organizer,"Silver, Black (Special Edition)",,,,,,,5.5 MB,VGA,Yes,About 100 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Removable Li-Ion 680 mAh battery (BA700),,,,,No,,,,Up to 7 h,Up to 280 h,B002UHS0UI
Samsung,Focus,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2010, October. Released 2010, November",Discontinued,124.7 x 64.3 x 9.9 mm (4.91 x 2.53 x 0.39 in),119.4 g (4.20 oz),Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~56.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,HTML,,,,,"AT&T U-verse Mobile, NavigatorSM, FamilyMap, Radio, myWireless  Document viewer/editor  MP4/H.264/WMV player  MP3/WAV/WMA/eAAC+ player  Organizer  Voice memo  Predictive text input",Black,HSDPA 850 / 1900 / 2100,HSPA 7.2/5.76 Mbps,Microsoft Windows Phone 7,Qualcomm QSD8250 Snapdragon S1,1.0 GHz Scorpion,Adreno 200,8GB 512MB RAM,"5 MP, AF",720p@25fps,About 90 EUR,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,0.50 W/kg (head) <c2><a0> <c2><a0>,,,,0.55 W/kg (head) <c2><a0> <c2><a0> 0.75 W/kg (body) <c2><a0> <c2><a0>,Removable Li-Ion 1500 mAh battery,,,,,V2,,,,Up to 6 h 30 min,Up to 300 h,B004H23JXW
Nokia,C3,GSM,GSM 850 / 900 / 1800 / 1900,Class 32,Class 32,"2010, April. Released 2010, June",Discontinued,"115.5 x 58.1 x 13.6 mm, 63.2 cc (4.55 x 2.29 x 0.54 in)",114 g (4.02 oz),Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm (~26.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",,"microSD, up to 8 GB (dedicated slot), 2 GB included","1000 entries, Photocall","Detailed, max 30 days",Yes,,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR",No,"Stereo FM radio, RDS",microUSB 2.0,V1,"SMS, MMS, Email, Push Email, IM","WAP 2.0/xHTML, HTML, Adobe Flash Lite",,,Downloadable,"Yes, MIDP 2.0",Social network integration  MP4/AVI/H.264/WMV player  MP3/WAV/WMA/eAAC+ player  Voice command/dial  Organizer  Predictive text input,"Slate Grey, Golden White, Hot Pink, Black",,,,,,,"55 MB, 64 MB RAM, 128 MB ROM",2 MP,QCIF@15fps,About 90 EUR,,,,,,,,,,,,,,,,Voice 75dB / Noise 66dB / Ring 77dB,Noise -89.2dB / Crosstalk -70.3dB,,,,,,,,,1.09 W/kg (head)    ,,,QWERTY,1.11 W/kg (head)     0.87 W/kg (body)    ,Removable Li-Ion 1320 mAh battery (BL-5J),,,,,No,,,,Up to 7 h,Up to 800 h,B004MK9VLS
Samsung,Focus Flash I677,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2011, September. Released 2011, November",Discontinued,116.1 x 58.7 x 11 mm (4.57 x 2.31 x 0.43 in),116.2 g (4.09 oz),Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","3.7 inches, 39.0 cm (~57.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)",,No,,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Yes, with A-GPS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,Document viewer/editor  MP4/H.264/WMV player  MP3/WAV/WMA/eAAC+ player,Dark Gray,HSDPA 850 / 1900 / 2100,HSPA 14.4/5.76 Mbps,Microsoft Windows Phone 7.5 Mango,,1.4 GHz Scorpion,,"8 GB, 512 MB RAM","5 MP, AF",720p,About 80 EUR,LED flash,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,0.35 W/kg (head)     0.93 W/kg (body)    ,Removable Li-Ion 1500 mAh battery,,,,,,,,,Up to 6 h 30 min,Up to 250 h,B00727AODC
Nokia,Lumia 900,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 33,Class 33,"2012, February","Available. Released 2012, May","127.8 x 68.5 x 11.5 mm, 90 cc (5.03 x 2.70 x 0.45 in)",160 g (5.64 oz),Micro-SIM,"AMOLED capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm (~60.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Nokia ClearBlack display,No,,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,,MP3/WAV/eAAC+/WMA player  MP4/H.264/WMV player  Document viewer/editor  Video/photo editor,"Black, cyan, white, magenta",HSDPA 850 / 900 / 1900 / 2100,HSPA 42.2/5.76 Mbps,Microsoft Windows Phone 7.5 Mango,Qualcomm APQ8055 Snapdragon S2,1.4 GHz Scorpion,Adreno 205,"16 GB, 512 MB RAM","8 MP, AF",720p@30fps,About 160 EUR,"Carl Zeiss optics, dual-LED flash",,,,Corning Gorilla Glass,,,,,VGA@15fps,,,,,Photo / Video,Voice 70dB / Noise 68dB / Ring 75dB,,Endurance rating 38h,Contrast ratio: Infinite (nominal) / 2.562:1 (sunlight),1 MP,,,,,Active noise cancellation with dedicated mic,1.33 W/kg (head)    ,,,,1.29 W/kg (head)     0.95 W/kg (body)    ,Non-removable Li-Ion 1830 mAh battery (BP-6EW),,Up to 60 h,,,,,,,Up to 7 h (2G) / Up to 7 h (3G),Up to 300 h (2G) / Up to 300 h (3G),B00836Y6B2
Motorola,DROID RAZR M,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,Class 12,Class 12,"2012, September. Released 2012, September",Discontinued,122.5 x 60.9 x 8.3 mm (4.82 x 2.40 x 0.33 in),126 g (4.44 oz),Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm (~68.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot, DLNA","4.0, EDR, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,MP3/AAC+/WAV/WMA player  MP4/H.264/WMV player  Organizer  Document viewer/editor  Voice memo/dial/commands  Predictive text input,"Black, White",CDMA2000 1xEV-DO,"HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps","Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.4 (KitKat)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,About 250 EUR,LED flash,Splash resistant,LTE band 13(700),,Corning Gorilla Glass,,,,,720p,Yes,,XT907,,,,Noise -82.9dB / Crosstalk -81.6dB,Endurance rating 55h,,VGA,,,,,Active noise cancellation with dedicated mic,,,,,0.63 W/kg (head)     1.30 W/kg (body)    ,Non-removable Li-Ion 2000 mAh battery,,,,,,,,HSDPA 850 / 900 / 1900 / 2100,Up to 20 h,Up to 408 h,B0096QYH80
Nokia,Lumia 920,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - RM-821, RM-820",Class 12,Up to 236.8 kbps,"2012, September","Available. Released 2012, November","130.3 x 70.8 x 10.7 mm, 99 cc (5.13 x 2.79 x 0.42 in)",185 g (6.53 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 57.6 cm (~62.5% screen-to-body ratio)","768 x 1280 pixels, 5:3 ratio (~332 ppi density)",PureMotion HD+ ClearBlack display,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, EDR, LE/ aptX after WP8 Denim update","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,,,,,,"Black, Gray, Red, Yellow, White","HSDPA 850 / 900 / 1900 / 2100 - RM-821, RM-820","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","Microsoft Windows Phone 8, upgradable to 8.1",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"32 GB, 1 GB RAM","8 MP, f/2.0, 26mm (wide), 1/3"", OIS, AF",1080p@30fps,About 210 EUR,"Carl Zeiss optics, dual-LED flash",,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - RM-821",,Corning Gorilla Glass 2,,,,,720p@30fps,Yes,Qi wireless charging,,,Photo / Video,Voice 61dB / Noise 64dB / Ring 65dB,Noise -78.9dB / Crosstalk -75.0dB,Endurance rating 44h,Contrast ratio: 1065:1 (nominal) / 2.107:1 (sunlight),1.3 MP,,,,,Dolby Headphone  Active noise cancellation with dedicated mic,0.70 W/kg (head)    ,,,,1.08 W/kg (head)     0.91 W/kg (body)    ,Non-removable Li-Ion 2000 mAh battery (BP-4GW),,Up to 67 h,,,,,,"LTE band 4(1700/2100), 17(700) - RM-820 (AT&T)",Up to 17 h (2G) / Up to 10 h (3G),Up to 400 h (2G) / Up to 400 h (3G),B00A2V7BA4
