asin,battery,camera,storage
B000SKTZ0S,0.229754556,0.191666667,#
B001GQ3DJM,0.293125,#,#
B002AS9WEA,0.308398268,0.406481481,#
B002UHS0UI,0.077782652,0.100416667,#
B004H23JXW,0.106220432,0.355602654,0.041595018
B004MK9VLS,#,#,#
B00727AODC,0.201448085,0.238657407,0.098142857
B00836Y6B2,0.085218447,0.300991311,0.013715278
B0096QYH80,0.14883281,0.160166565,0.06890289
B00A2V7BA4,0.111461638,0.317796878,0.221386764
B00A2V7ULY,0.273302469,0.469072485,0
B00A7F57EM,0.135518907,0.223741938,0
B00A7F5M9W,0.131256158,0.184307359,0.158333333
B00ACZ0DUA,0.296833333,0.375530303,#
B00CQAODG4,0.133281069,0.376670831,0.125590986
B00CS2ZWKQ,0.089937075,0.20186648,0.029166667
B00D99ZBR6,0.118140435,0.265308983,0.237619048
B00E45043A,0.333666667,0.08447619,0.312272727
B00E8TGT1S,0,0.633333333,#
B00F2SKPIM,0.156248749,0.330205422,0.240048961
B00F3JPKCG,0.164814815,0.410615079,0.289285714
B00FTV382C,0.073896104,0,#
B00G9G0HTI,0.235700758,0.213484848,0.179166667
B00HE5834Y,0.438333333,0.244444444,#
B00HWEMZ1E,0.205413139,0.378791778,-0.02
B00I2KY5TM,0.22025463,#,#
B00IZ1X21K,0.181221942,0.318686869,0.0125
B00JH2WPO6,0.214062851,0.161234568,#
B00JS73V2U,0.218029746,0.048833292,0.111127946
B00K0NS0P4,0.203661298,0.239962121,0.182380952
B00KM10ITK,0.091721543,0.195251283,-0.056944444
B00LAEA84S,0.091401209,0.246496918,0.237314815
B00LIYEMTC,#,#,#
B00MWI4HW0,0.253888042,0.213532566,0.01
B00MWI4KKE,0.130729335,0.210292545,0.073727778
B00N532A34,0.099958519,0.300555556,0.158214286
B00N532DU4,0.120391861,0.191268188,0
B00NKR9MJA,0.150917306,0.173086918,0.083333333
B00NKRE7MW,0.065811845,0.27,#
B00NO2WXM4,0.162839691,0.216259184,0.086531987
B00O15MWOM,0.100451091,0.04034375,0.019114583
B00OEK6TWU,0.191360513,0.317620441,0.362946429
B00OZTSY6Y,0.18574764,0.202899854,0.179349817
B00PLBFPAS,-0.1,-0.269230769,#
B00TFAVFL4,0.236662529,0.177182227,0.207922788
B00TRLXO6U,0.05532197,0.368246032,#
B00V7FXCZ2,-0.034559643,0.078125,#
B00V7FY44A,0.074005244,0.254893827,0.278216374
B00V8STWY8,#,#,#
B00VH2TWBS,-0.033162054,0.058333333,#
B00WHE2WCG,0.024398621,0.373010417,0.433333333
B00WIYFBWI,0.033156966,0.214357864,#
